cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,Microsoft Academic Paper ID,WHO #Covidence,has_pdf_parse,has_pmc_xml_parse,full_text_file,url
2fhiz3an,00cb1a95986171a256f5ef14701bd8f571221a28,PMC,How Flaviviruses Activate and Suppress the Interferon Response,10.3390/v2020676,PMC3185611,21994652.0,cc-by,"The flavivirus genus includes viruses with a remarkable ability to produce disease on a large scale. The expansion and increased endemicity of dengue and West Nile viruses in the Americas exemplifies their medical and epidemiological importance. The rapid detection of viral infection and induction of the innate antiviral response are crucial to determining the outcome of infection. The intracellular pathogen receptors RIG-I and MDA5 play a central role in detecting flavivirus infections and initiating a robust antiviral response. Yet, these viruses are still capable of producing acute illness in humans. It is now clear that flaviviruses utilize a variety of mechanisms to modulate the interferon response. The non-structural proteins of the various flaviviruses reduce expression of interferon dependent genes by blocking phosphorylation, enhancing degradation or down-regulating expression of major components of the JAK/STAT pathway. Recent studies indicate that interferon modulation is an important factor in the development of severe flaviviral illness. This suggests that an increased understanding of viral-host interactions will facilitate the development of novel therapeutics to treat these viral infections and improved biological models to study flavivirus pathogenesis.",2010-02-23,"Muñoz-Jordán, Jorge L.; Fredericksen, Brenda L.",Viruses,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3185611/
0ga5rel6,0b460e73926eb107001c95c0dfeae2362b4251b0,medrxiv,Precautions are Needed for COVID-19 Patients with Coinfection of Common Respiratory Pathogens,10.1101/2020.02.29.20027698,,,medrvix,"Background: With the ongoing outbreak of Coronavirus Disease 2019 (COVID-19), infected patients within and beyond the epidemic area, Wuhan, China, showed different epidemiological and clinical characteristics. There is a paucity of data concerning coinfection with other common respiratory pathogens in COVID-19 patients outside of Wuhan. Methods: We conducted a double-centre study recruiting 68 patients with severe acute respiratory coronavirus 2 (SARS-CoV-2) infection confirmed by nucleic acid testing in Qingdao and Wuhan from January 17 to February 16, 2020. Indirect immunofluorescence was performed to detect the specific IgM antibody against common respiratory pathogens in collected acute phase serum. Results: Of the 68 patients with SARS-CoV-2 infection, 30 (44.12%) were from Qingdao. The median age of Qingdao and Wuhan patients were 50 (IQR: 37-59) and 31 (IQR: 28-38) years, respectively, and the majority of patients were female in Qingdao (60.00%) and Wuhan (55.26%). Among COVID-19 patients in Qingdao, 24 (80.00%) of them had IgM antibodies against at least one respiratory pathogen, whereas only one (2.63%) of the patients in Wuhan had positive results for serum IgM antibody detection (P<0.0001). The most common respiratory pathogens detected in Qingdao COVID-19 patients were influenza virus A (60.00%) and influenza virus B (53.33%), followed by mycoplasma pneumoniae (23.33%) and legionella pneumophila (20.00%). While the pattern for coinfection in patients with community-acquired pneumonia in Qingdao was quite different, with a positive rate of only 20.90%. Interpretation: We reported a large proportion of COVID-19 patients with coinfection of seasonal respiratory pathogens in Qingdao, northeast China, which differed greatly from the patients in Wuhan, central China. Precautions are needed when dealing with COVID-19 patients beyond the epidemic centre who have coinfection with other respiratory pathogens. We highly recommend adding SARS-CoV-2 to routine diagnostic testing in capable hospitals to prevent misdetection of the virus.",2020-03-03,Quansheng Xing; Guoju Li; Yuhan Xing; Ting Chen; Wenjie Li; Wei Ni; Kai Deng; Ruqin Gao; Changzheng Chen; Yang Gao; Qiang Li; Guiling Yu; Jianning Tong; Wei Li; Guiliang Hao; Yue Sun; Ai Zhang; Qin Wu; Zipu Li; Silin Pan,,,,True,False,biorxiv_medrxiv,https://doi.org/10.1101/2020.02.29.20027698
x4na1o4p,0fc01f8a6bb755f52b6407df7cb8c9accd15450e,PMC,Involvement of P2X7 receptor signaling on regulating the differentiation of Th17 cells and type II collagen-induced arthritis in mice,10.1038/srep35804,PMC5075966,27775097.0,cc-by,"Interleukin (IL)-17 producing T helper (Th17) cells are major effector cells in the pathogenesis of rheumatoid arthritis (RA). The P2X7 receptor (P2X7R) has emerged as a potential site in the regulation of inflammation in RA but little is known of its functional role on the differentiation of Th17 cells. This study investigates the in vitro and in vivo effects of P2X7R on Th17 cell differentiation during type II collagen (CII) induced experimental arthritis model. In CII-treated dendritic cells (DCs) and DC/CD4(+) T coculture system, pretreatment with pharmacological antagonists of P2X7R (Suramin and A-438079) caused strong inhibition of production of Th17-promoting cytokines (IL-1β, TGF-β1, IL-23p19 and IL-6). Exposure to CII induced the elevation of mRNAs encoding retinoic acid receptor-related orphan receptor α and γt, which were abolished by pretreatment with P2X7R antagonists. Furthermore, blocking P2X7R signaling abolished the CII-mediated increase in IL-17A. Blockade of P2X7R remarkably inhibited hind paw swelling and ameliorated pathological changes in ankle joint of the collagen-induced arthritis mice. Thus, we demonstrated a novel function for P2X7R signaling in regulating CII-induced differentiation of Th17 cells. P2X7R signaling facilitates the development of the sophisticated network of DC-derived cytokines that favors a Th17 phenotype.",2016-10-24,"Fan, Zhi-Dan; Zhang, Ya-Yuan; Guo, Yi-Hong; Huang, Na; Ma, Hui-Hui; Huang, Hui; Yu, Hai-Guo",Sci Rep,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075966/
ku5v5cbm,7120211f7eda128e441ed22e3e4d8d3eda07b771,PMC,Effect of oral care gel on the quality of life for oral lichen planus in patients with chronic HCV infection,10.1186/1743-422x-8-348,PMC3149004,21749712.0,cc-by,"BACKGROUND: Oral lichen planus (OLP) decreases the quality of life because it can cause spontaneous pain during eating and tooth-brushing and an uncomfortable feeling in the mouth. In addition, OLP may be associated with HCV-related liver disease. We investigated the visual analogue scale (VAS) and effects of oral care gel, REFRECARE-H(®), on patients with OLP associated with HCV infection. RESULTS: Nine OLP patients (mean age 67.9 ± 7.6 years) with HCV-related liver diseases were recruited and their VAS score determined along with a biochemical examination of the blood. Types of OLP included erosive (6 patients) and reticular (3). REFRECARE-H(®), an oral care gel (therapeutic dentifrice) containing hinokitiol, was applied by each patient as a thin layer on the oral membrane, after each meal and at bedtime for 30 days. Application of REFRECARE-H(® )improved the quality of life in all terms of dry mouth, breath odor, oral freshness, oral pain during rest, oral pain at a mealtimes, taste disorder, loss of appetite, sleep disorder, depressive mood and jitteriness. VAS scores of dry mouth, breath odor, oral freshness, and sleep disorder were significantly increased 30 days after application of REFRECARE-H(® )(P = 0.01, P = 0.05, P = 0.03, P = 0.04). VAS scores of oral pain at a mealtimes and taste disorder were increased 30 days after application of REFRECARE-H(® )(P = 0.06). There was an absence of side effects. CONCLUSIONS: REFRECARE-H(® )improved the quality of life for OLP. It is necessary for the hepatologist to educate patients regarding oral hygiene, as well as provide treatment of liver disease.",2011-07-12,"Nagao, Yumiko; Sata, Michio",Virol J,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3149004/
tx5ff5gk,7af827f235679f6d05974e8e5c5ca434642eeda2,PMC,A Discontinuous RNA Platform Mediates RNA Virus Replication: Building an Integrated Model for RNA–based Regulation of Viral Processes,10.1371/journal.ppat.1000323,PMC2648310,19266082.0,cc-by,"Plus-strand RNA viruses contain RNA elements within their genomes that mediate a variety of fundamental viral processes. The traditional view of these elements is that of local RNA structures. This perspective, however, is changing due to increasing discoveries of functional viral RNA elements that are formed by long-range RNA–RNA interactions, often spanning thousands of nucleotides. The plus-strand RNA genomes of tombusviruses exemplify this concept by possessing different long-range RNA–RNA interactions that regulate both viral translation and transcription. Here we report that a third fundamental tombusvirus process, viral genome replication, requires a long-range RNA–based interaction spanning ∼3000 nts. In vivo and in vitro analyses suggest that the discontinuous RNA platform formed by the interaction facilitates efficient assembly of the viral RNA replicase. This finding has allowed us to build an integrated model for the role of global RNA structure in regulating the reproduction of a eukaryotic RNA virus, and the insights gained have extended our understanding of the multifunctional nature of viral RNA genomes.",2009-03-06,"Wu, Baodong; Pogany, Judit; Na, Hong; Nicholson, Beth L.; Nagy, Peter D.; White, K. Andrew",PLoS Pathog,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2648310/
yu6oj30v,462c15b07dd915107b852ace8f6c49eb53fc9a9a,PMC,"Viral etiology of acute respiratory infections in hospitalized children in Novosibirsk City, Russia (2013 – 2017)",10.1371/journal.pone.0200117,PMC6143185,30226876.0,cc-by,"BACKGROUND: Acute respiratory infections (ARIs) cause a considerable morbidity and mortality worldwide especially in children. However, there are few studies of the etiological structure of ARIs in Russia. In this work, we analyzed the etiology of ARIs in children (0–15 years old) admitted to Novosibirsk Children’s Municipal Clinical Hospital in 2013–2017. METHODS: We tested nasal and throat swabs of 1560 children with upper or lower respiratory infection for main respiratory viruses (influenza viruses A and B, parainfluenza virus types 1–4, respiratory syncytial virus, metapneumovirus, four human coronaviruses, rhinovirus, adenovirus and bocavirus) using a RT-PCR Kit. RESULTS: We detected 1128 (72.3%) samples were positive for at least one virus. The most frequently detected pathogens were respiratory syncytial virus (358/1560, 23.0%), influenza virus (344/1560, 22.1%), and rhinovirus (235/1560, 15.1%). Viral co-infections were found in 163 out of the 1128 (14.5%) positive samples. We detected significant decrease of the respiratory syncytial virus-infection incidence in children with increasing age, while the reverse relationship was observed for influenza viruses. CONCLUSIONS: We evaluated the distribution of respiratory viruses in children with ARIs and showed the prevalence of respiratory syncytial virus and influenza virus in the etiological structure of infections. This study is important for the improvement and optimization of diagnostic tactics, control and prevention of the respiratory viral infections.",2018-09-18,"Kurskaya, Olga; Ryabichenko, Tatyana; Leonova, Natalya; Shi, Weifeng; Bi, Hongtao; Sharshov, Kirill; Kazachkova, Eugenia; Sobolev, Ivan; Prokopyeva, Elena; Kartseva, Tatiana; Alekseev, Alexander; Shestopalov, Alexander",PLoS One,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6143185/
o33g0719,a92d2df5aae260091456d3a65800c01cca79d599,PMC,Neutrophil Dysfunction in the Airways of Children with Acute Respiratory Failure Due to Lower Respiratory Tract Viral and Bacterial Coinfections,10.1038/s41598-019-39726-w,PMC6393569,30814584.0,cc-by,"Neutrophils are recruited to the airways of patients with acute respiratory distress syndrome (ARDS) where they acquire an activated pro-survival phenotype with an enhanced respiratory burst thought to contribute to ARDS pathophysiology. Our in vitro model enables blood neutrophil transepithelial migration into cell-free tracheal aspirate fluid from patients to recapitulate the primary airway neutrophil phenotype observed in vivo. Neutrophils transmigrated through our model toward airway fluid from children with lower respiratory viral infections coinfected with bacteria had elevated levels of neutrophil activation markers but paradoxically exhibited an inability to kill bacteria and a defective respiratory burst compared with children without bacterial coinfection. The airway fluid from children with bacterial coinfections had higher levels of neutrophil elastase activity, as well as myeloperoxidase levels compared to children without bacterial coinfection. Neutrophils transmigrated into the aspirate fluid from children with bacterial coinfection showed decreased respiratory burst and killing activity against H. influenzae and S. aureus compared to those transmigrated into the aspirate fluid from children without bacterial coinfection. Use of a novel transmigration model recapitulates this pathological phenotype in vitro that would otherwise be impossible in a patient, opening avenues for future mechanistic and therapeutic research.",2019-02-27,"Grunwell, Jocelyn R.; Giacalone, Vincent D.; Stephenson, Susan; Margaroli, Camilla; Dobosh, Brian S.; Brown, Milton R.; Fitzpatrick, Anne M.; Tirouvanziam, Rabindra",Sci Rep,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6393569/
ik5w4t5e,0a0cbd4cb08c862deadcb5aaef22a27b770c0791,PMC,Real-world comparison of two molecular methods for detection of respiratory viruses,10.1186/1743-422x-8-332,PMC3154182,21714915.0,cc-by,"BACKGROUND: Molecular polymerase chain reaction (PCR) based assays are increasingly used to diagnose viral respiratory infections and conduct epidemiology studies. Molecular assays have generally been evaluated by comparing them to conventional direct fluorescent antibody (DFA) or viral culture techniques, with few published direct comparisons between molecular methods or between institutions. We sought to perform a real-world comparison of two molecular respiratory viral diagnostic methods between two experienced respiratory virus research laboratories. METHODS: We tested nasal and throat swab specimens obtained from 225 infants with respiratory illness for 11 common respiratory viruses using both a multiplex assay (Respiratory MultiCode-PLx Assay [RMA]) and individual real-time RT-PCR (RT-rtPCR). RESULTS: Both assays detected viruses in more than 70% of specimens, but there was discordance. The RMA assay detected significantly more human metapneumovirus (HMPV) and respiratory syncytial virus (RSV), while RT-rtPCR detected significantly more influenza A. We speculated that primer differences accounted for these discrepancies and redesigned the primers and probes for influenza A in the RMA assay, and for HMPV and RSV in the RT-rtPCR assay. The tests were then repeated and again compared. The new primers led to improved detection of HMPV and RSV by RT-rtPCR assay, but the RMA assay remained similar in terms of influenza detection. CONCLUSIONS: Given the absence of a gold standard, clinical and research laboratories should regularly correlate the results of molecular assays with other PCR based assays, other laboratories, and with standard virologic methods to ensure consistency and accuracy.",2011-06-29,"Ali, S Asad; Gern, James E; Hartert, Tina V; Edwards, Kathryn M; Griffin, Marie R; Miller, E  Kathryn; Gebretsadik, Tebeb; Pappas, Tressa; Lee, Wai- ming; Williams, John V",Virol J,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3154182/
pdx5xovg,be9cb78bf2453f68b260e9ed4f75d9ceccb77754,PMC,Lower serum uric acid level predicts mortality in dialysis patients,10.1097/md.0000000000003701,PMC4998435,27310949.0,cc-by,"We evaluated the impact of serum uric acid (SUA) on mortality in patients with chronic dialysis. A total of 4132 adult patients on dialysis were enrolled prospectively between August 2008 and September 2014. Among them, we included 1738 patients who maintained dialysis for at least 3 months and had available SUA in the database. We categorized the time averaged-SUA (TA-SUA) into 5 groups: <5.5, 5.5–6.4, 6.5–7.4, 7.5–8.4, and ≥8.5 mg/dL. Cox regression analysis was used to calculate the hazard ratio (HR) of all-cause mortality according to SUA group. The mean TA-SUA level was slightly higher in men than in women. Patients with lower TA-SUA level tended to have lower body mass index (BMI), phosphorus, serum albumin level, higher proportion of diabetes mellitus (DM), and higher proportion of malnourishment on the subjective global assessment (SGA). During a median follow-up of 43.9 months, 206 patients died. Patients with the highest SUA had a similar risk to the middle 3 TA-SUA groups, but the lowest TA-SUA group had a significantly elevated HR for mortality. The lowest TA-SUA group was significantly associated with increased all-cause mortality (adjusted HR, 1.720; 95% confidence interval, 1.007–2.937; P = 0.047) even after adjusting for demographic, comorbid, nutritional covariables, and medication use that could affect SUA levels. This association was prominent in patients with well nourishment on the SGA, a preserved serum albumin level, a higher BMI, and concomitant DM although these parameters had no significant interaction in the TA-SUA-mortality relationship except DM. In conclusion, a lower TA-SUA level <5.5 mg/dL predicted all-cause mortality in patients with chronic dialysis.",2016-06-17,"Bae, Eunjin; Cho, Hyun-Jeong; Shin, Nara; Kim, Sun Moon; Yang, Seung Hee; Kim, Dong Ki; Kim, Yong-Lim; Kang, Shin-Wook; Yang, Chul Woo; Kim, Nam Ho; Kim, Yon Su; Lee, Hajeong",Medicine (Baltimore),,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4998435/
oktefody,bf78c49c0e8c888ffd4b8f800895263eeca69ae8,PMC,Proteomics informed by transcriptomics for characterising differential cellular susceptibility to Nelson Bay orthoreovirus infection,10.1186/s12864-017-3994-x,PMC5556373,28806913.0,cc-by,"BACKGROUND: Nelson Bay orthoreovirus (NBV) is a fusogenic bat borne virus with an unknown zoonotic potential. Previous studies have shown that NBV can infect and replicate in a wide variety of cell types derived from their natural host (bat), as well as from human, mouse and monkey. Within permissive cells, NBV induced significant cytopathic effects characterised by cell-cell fusion and syncytia formation. To understand the molecular events that underpin NBV infection we examined the host transcriptome and proteome response of two cell types, derived from bat (PaKiT03) and mouse (L929), to characterise differential cellular susceptibility to NBV. RESULTS: Despite significant differences in NBV replication and cytopathic effects in the L929 and PaKiT03 cells, the host response was remarkably similar in these cells. At both the transcriptome and proteome level, the host response was dominated by IFN production and signalling pathways. The majority of proteins up-regulated in L929 and PaKiT03 cells were also up-regulated at the mRNA (gene) level, and included many important IFN stimulated genes. Further functional experimentation demonstrated that stimulating IFN signalling prior to infection, significantly reduced NBV replication in PaKiT03 cells. Moreover, inhibiting IFN signalling (through specific siRNAs) increased NBV replication in L929 cells. In line with the significant cytopathic effects seen in PaKiT03 cells, we also observed a down-regulation of genes involved in cell-cell junctions, which may be related to the fusogenic effects of NBV. CONCLUSIONS: This study provides new multi-dimensional insights into the host response of mammalian cells to NBV infection. We show that IFN activity is capable of reducing NBV replication, although it is unlikely that this is solely responsible for the reduced replication of NBV in L929 cells. The molecular events that underpin the fusogenic cytopathic effects described here will prove valuable for identifying potential therapeutic targets against fusogenic orthoreovirus. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (doi:10.1186/s12864-017-3994-x) contains supplementary material, which is available to authorized users.",2017-08-14,"Mok, Lawrence; Wynne, James W.; Tachedjian, Mary; Shiell, Brian; Ford, Kris; Matthews, David A.; Bacic, Antony; Michalski, Wojtek P.",BMC Genomics,,,True,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5556373/
